unit_number,cycle,op1,op2,predicted_RUL,RUL,error,risk_level,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,18,0.0035,0.0001,183.50667,125,-58.50666809082031,Low,642.59,1586.53,1403.69,553.5,2388.04,9048.12,47.44,522.14,2388.06,8133.22,8.4323,391,38.96,23.4481
1,19,0.0029,0.0001,181.11256,124,-57.11256408691406,Low,642.43,1585.58,1402.3,553.87,2388.01,9046.9,47.25,522.06,2388.01,8129.31,8.3892,391,39.06,23.3809
1,20,0.0011,-0.0001,174.09842,123,-51.098419189453125,Low,642.61,1587.78,1400.7,554.31,2388.05,9041.12,47.46,522.28,2388.05,8128.59,8.4099,392,39.0,23.3325
1,21,0.0038,-0.0002,188.1648,122,-66.164794921875,Low,642.7,1583.3,1399.2,554.42,2388.05,9053.73,47.36,522.05,2388.11,8126.86,8.4174,392,38.96,23.4025
1,22,0.0012,0.0001,189.94739,121,-68.9473876953125,Low,642.45,1582.78,1404.06,553.43,2388.0,9046.45,47.26,521.41,2388.04,8128.89,8.4557,392,38.94,23.377
1,23,0.0009,-0.0,205.7982,120,-85.79820251464844,Low,642.12,1587.51,1395.09,555.07,2388.04,9052.06,47.19,522.0,2388.06,8130.97,8.4116,393,39.1,23.3186
1,24,-0.0006,-0.0001,176.69218,119,-57.69218444824219,Low,642.32,1594.29,1400.15,553.27,2388.07,9043.32,47.29,522.06,2388.12,8130.7,8.4074,393,38.94,23.3971
1,25,0.0028,-0.0003,177.80954,118,-59.809539794921875,Low,642.25,1582.43,1400.23,553.76,2388.11,9043.8,47.37,522.26,2388.08,8128.65,8.4007,393,38.96,23.3785
1,26,0.0047,-0.0005,205.4351,117,-88.43510437011719,Low,642.48,1583.28,1408.07,554.59,2388.08,9053.43,47.33,521.95,2388.07,8129.12,8.3949,391,38.77,23.3557
1,27,-0.0007,0.0001,174.53195,116,-58.531951904296875,Low,642.08,1586.65,1400.31,554.35,2388.09,9046.1,47.34,521.82,2388.02,8127.24,8.4494,392,38.87,23.3931
1,28,0.0022,0.0005,194.34854,115,-79.34854125976562,Low,641.93,1594.25,1401.29,553.56,2388.07,9055.56,47.05,521.84,2388.07,8134.89,8.447,392,38.83,23.3502
1,29,0.0014,0.0001,179.76682,114,-65.76681518554688,Low,641.95,1587.15,1398.11,554.15,2388.08,9046.11,47.42,522.39,2388.07,8133.13,8.4212,392,39.02,23.3621
1,30,-0.0025,0.0004,177.486,113,-64.48599243164062,Low,642.79,1585.72,1400.97,554.1,2388.09,9047.45,47.4,521.78,2388.1,8134.79,8.411,391,39.09,23.4069
1,31,-0.0006,0.0004,168.2272,112,-56.227203369140625,Low,642.58,1581.22,1398.91,554.42,2388.08,9056.4,47.23,521.79,2388.06,8130.11,8.4024,393,38.81,23.3552
2,1,-0.0009,0.0004,178.59161,146,-32.59161376953125,Low,642.66,1589.3,1407.16,553.14,2388.1,9040.2,47.43,521.62,2388.14,8129.59,8.4283,392,39.0,23.3923
2,2,-0.0011,0.0002,200.67447,145,-55.674468994140625,Low,642.51,1588.43,1405.47,553.53,2388.07,9053.77,47.45,522.02,2388.08,8120.05,8.4414,393,38.84,23.2902
2,3,0.0002,0.0003,185.46013,144,-41.46012878417969,Low,642.58,1595.6,1410.86,553.34,2388.13,9036.57,47.45,521.29,2388.08,8126.75,8.3804,394,39.02,23.4064
2,4,0.0025,0.0001,185.92714,143,-42.92713928222656,Low,642.31,1583.43,1408.23,554.15,2388.14,9047.06,47.42,521.57,2388.06,8129.91,8.4342,393,38.82,23.4699
2,5,0.0004,-0.0004,186.30396,142,-44.303955078125,Low,642.77,1585.03,1407.6,553.98,2388.13,9043.96,47.47,521.59,2388.11,8127.01,8.4247,392,38.81,23.3895
2,6,-0.0008,-0.0003,191.82227,141,-50.822265625,Low,642.5,1579.87,1402.27,553.79,2388.11,9042.51,47.6,521.8,2388.06,8128.82,8.4182,392,38.78,23.2688
2,7,0.0019,0.0,202.70367,140,-62.70367431640625,Low,642.63,1594.28,1405.38,553.56,2388.14,9050.22,47.52,520.97,2388.07,8127.07,8.4113,393,38.75,23.5222
2,8,0.0015,0.0003,200.06718,139,-61.06718444824219,Low,642.61,1583.23,1404.58,553.16,2388.07,9050.66,47.41,521.72,2388.15,8134.66,8.443,391,38.79,23.224
2,9,-0.0022,0.0003,185.8674,138,-47.867401123046875,Low,642.28,1588.74,1407.54,553.25,2388.09,9051.36,47.47,521.48,2388.08,8131.51,8.4459,392,38.71,23.273
2,10,0.0021,0.0004,191.11101,137,-54.11100769042969,Low,642.53,1590.87,1406.04,553.45,2388.12,9053.96,47.47,521.09,2388.1,8123.71,8.4211,392,38.92,23.3399
2,11,-0.001,0.0,191.06575,136,-55.06575012207031,Low,642.57,1594.61,1407.53,553.65,2388.08,9044.28,47.37,521.25,2388.12,8124.59,8.3784,392,38.81,23.3423
2,12,0.0022,-0.0001,189.74184,135,-54.74183654785156,Low,642.7,1599.04,1412.05,553.66,2388.12,9051.27,47.64,521.43,2388.08,8130.06,8.3877,392,38.79,23.2849
2,13,0.0034,0.0001,186.45499,134,-52.454986572265625,Low,642.35,1583.94,1402.56,553.64,2388.13,9044.51,47.39,521.3,2388.1,8128.62,8.4313,393,38.9,23.3169
2,14,-0.0013,0.0,178.49081,133,-45.490814208984375,Low,642.46,1589.62,1402.63,552.55,2388.17,9047.88,47.53,522.15,2388.04,8127.22,8.4346,393,38.93,23.3479
2,15,-0.0009,0.0,194.724,132,-62.7239990234375,Low,642.33,1582.15,1398.72,553.47,2388.1,9042.9,47.65,521.55,2388.15,8124.9,8.429,394,38.87,23.393
2,16,0.0018,-0.0002,186.70119,131,-55.70118713378906,Low,642.54,1588.49,1401.46,554.01,2388.15,9046.42,47.32,521.59,2388.12,8128.06,8.4817,393,38.86,23.361
2,17,-0.0012,0.0005,190.93901,130,-60.93901062011719,Low,641.91,1583.24,1408.27,554.54,2388.05,9047.39,47.53,521.39,2388.07,8132.92,8.4357,392,38.71,23.2601
2,18,0.0005,0.0001,182.5514,129,-53.55140686035156,Low,642.45,1596.19,1403.2,553.64,2388.12,9049.76,47.3,521.52,2388.09,8127.02,8.4451,392,38.83,23.2268
2,19,0.0005,-0.0,170.91618,128,-42.91618347167969,Low,642.37,1595.07,1405.63,553.73,2388.14,9041.39,47.4,521.87,2388.08,8130.19,8.4992,392,38.77,23.3142
2,20,0.0039,0.0004,176.34297,127,-49.34297180175781,Low,642.72,1589.15,1400.69,553.51,2388.12,9048.61,47.55,521.43,2388.15,8129.88,8.4578,393,38.77,23.2495
2,21,-0.0038,-0.0003,171.63344,126,-45.63343811035156,Low,642.32,1590.72,1402.4,553.3,2388.08,9047.49,47.62,521.44,2388.12,8134.08,8.4513,394,38.89,23.3836
2,22,0.0005,0.0003,170.95424,125,-45.95423889160156,Low,642.44,1585.48,1412.69,554.22,2388.05,9052.75,47.54,522.09,2388.09,8126.33,8.4271,393,38.88,23.2475
2,23,-0.0003,0.0003,164.11717,124,-40.11717224121094,Low,642.69,1591.13,1407.82,553.75,2388.15,9048.31,47.33,522.12,2388.11,8126.07,8.4435,393,39.01,23.3193
2,24,0.001,-0.0004,169.41656,123,-46.41656494140625,Low,643.17,1590.83,1408.84,553.43,2388.1,9054.48,47.45,521.66,2388.11,8137.07,8.4307,392,39.03,23.2738
2,25,0.0014,-0.0004,181.64215,122,-59.64215087890625,Low,643.33,1590.17,1404.7,553.24,2388.04,9052.54,47.52,521.62,2388.12,8133.08,8.4306,392,38.86,23.3787
2,26,0.0012,0.0001,173.18633,121,-52.18632507324219,Low,642.51,1587.04,1408.29,552.7,2388.16,9054.46,47.46,520.62,2388.1,8129.67,8.4081,392,38.93,23.2403
2,27,-0.0009,0.0004,170.68788,120,-50.68788146972656,Low,642.54,1596.98,1408.7,553.3,2388.16,9052.56,47.53,521.63,2388.11,8127.87,8.4669,393,38.82,23.2959
2,28,-0.0008,-0.0,168.74768,119,-49.7476806640625,Low,642.16,1592.33,1404.59,553.75,2388.12,9044.3,47.47,521.19,2388.08,8129.68,8.4276,393,38.76,23.357
2,29,-0.0015,-0.0004,163.13812,118,-45.13812255859375,Low,642.43,1581.85,1401.94,553.82,2388.1,9048.68,47.37,521.15,2388.12,8124.7,8.4347,394,39.0,23.3035
2,30,0.0015,0.0004,164.1998,117,-47.199798583984375,Low,642.75,1583.78,1409.97,553.58,2388.12,9043.57,47.49,521.74,2388.11,8132.58,8.4629,393,38.93,23.3048
2,31,0.0003,0.0002,168.20334,116,-52.203338623046875,Low,642.77,1591.32,1402.47,553.46,2388.11,9045.86,47.53,521.41,2388.13,8129.54,8.4312,394,38.74,23.3065
2,32,0.0032,0.0002,155.56995,115,-40.5699462890625,Low,642.78,1594.31,1416.93,553.78,2388.16,9055.9,47.51,521.48,2388.11,8129.92,8.4061,394,38.74,23.3139
2,33,-0.0006,-0.0003,160.80817,114,-46.80816650390625,Low,642.53,1592.58,1405.06,553.85,2388.09,9048.95,47.49,521.41,2388.06,8127.13,8.4163,395,39.02,23.3074
2,34,-0.0033,0.0001,160.40471,113,-47.40470886230469,Low,642.43,1582.25,1409.15,554.02,2388.13,9048.31,47.54,521.87,2388.09,8126.81,8.4476,392,38.97,23.2535
2,35,-0.0033,-0.0001,148.79416,112,-36.794158935546875,Low,642.89,1597.36,1402.02,553.64,2388.09,9048.35,47.42,521.99,2388.14,8124.1,8.4593,393,38.87,23.3074
2,36,-0.0017,0.0001,156.9048,111,-45.90480041503906,Low,642.23,1584.89,1407.87,553.22,2388.12,9050.91,47.48,521.46,2388.12,8131.65,8.4211,393,38.84,23.2243
2,37,0.0004,-0.0001,160.63335,110,-50.63334655761719,Low,643.2,1581.9,1404.83,553.61,2388.11,9047.66,47.19,521.74,2388.16,8135.15,8.4178,393,39.02,23.288
2,38,-0.0029,-0.0001,157.84079,109,-48.840789794921875,Low,642.62,1588.47,1401.81,553.29,2388.1,9048.89,47.5,521.35,2388.12,8127.19,8.4541,393,38.81,23.3641
2,39,0.0002,0.0004,148.884,108,-40.884002685546875,Low,642.98,1591.62,1405.46,553.49,2388.1,9049.71,47.58,521.75,2388.13,8128.53,8.4363,394,38.67,23.3072
2,40,0.0023,0.0003,155.65346,107,-48.65345764160156,Low,642.65,1590.33,1407.82,553.68,2388.16,9051.07,47.47,521.91,2388.12,8127.59,8.419,393,38.74,23.3693
2,41,-0.0001,-0.0002,154.50024,106,-48.500244140625,Low,642.78,1595.98,1405.79,553.44,2388.08,9042.03,47.44,521.47,2388.1,8125.49,8.4247,393,38.82,23.3411
2,42,-0.0039,-0.0002,149.07388,105,-44.073883056640625,Low,642.74,1586.43,1409.1,553.91,2388.09,9045.09,47.45,521.51,2388.14,8126.66,8.4788,393,38.88,23.2196
2,43,0.0014,0.0001,150.21466,104,-46.21466064453125,Low,642.82,1588.4,1405.06,553.01,2388.11,9050.32,47.55,521.31,2388.15,8125.56,8.4927,392,38.73,23.2775
2,44,-0.0023,0.0003,147.79716,103,-44.79716491699219,Low,642.77,1591.75,1411.05,553.62,2388.12,9049.84,47.65,520.96,2388.13,8132.18,8.4366,392,38.79,23.3533
2,45,-0.0029,0.0,150.68065,102,-48.68064880371094,Low,642.48,1590.52,1406.2,553.85,2388.09,9045.99,47.5,521.65,2388.1,8128.22,8.4467,392,38.95,23.2906
2,46,0.0026,-0.0002,145.87582,101,-44.875823974609375,Low,642.84,1589.31,1401.67,553.83,2388.11,9045.35,47.42,521.04,2388.1,8128.82,8.4455,394,38.88,23.231
2,47,-0.0029,-0.0004,153.08835,100,-53.088348388671875,Low,642.85,1587.58,1403.23,554.24,2388.06,9052.32,47.5,522.23,2388.11,8128.77,8.4221,392,38.88,23.2965
2,48,0.0011,-0.0001,149.61407,99,-50.61407470703125,Low,642.64,1587.71,1411.96,553.3,2388.18,9046.73,47.44,521.32,2388.11,8125.65,8.4465,392,38.99,23.2918
2,49,0.0018,-0.0001,149.2602,98,-51.26019287109375,Low,642.55,1586.59,1410.83,553.52,2388.1,9044.77,47.67,521.74,2388.09,8126.9,8.4505,391,38.81,23.2618
3,1,-0.0001,0.0001,193.72536,194,0.2746429443359375,Low,642.03,1589.92,1408.39,553.4,2388.07,9053.65,47.71,522.2,2388.13,8131.17,8.433,392,38.99,23.296
3,2,0.0039,-0.0003,208.562,193,-15.561996459960938,Low,642.23,1597.31,1407.9,553.74,2388.11,9041.49,47.44,521.19,2388.08,8132.69,8.4183,393,38.84,23.3191
3,3,0.0006,0.0003,189.04958,192,2.9504241943359375,Low,642.98,1586.77,1407.58,553.23,2388.06,9053.39,47.4,521.92,2388.09,8131.29,8.4017,391,38.69,23.3774
3,4,-0.0011,-0.0001,192.41669,191,-1.41668701171875,Low,642.42,1590.52,1401.42,553.31,2388.08,9051.03,47.66,521.59,2388.09,8134.41,8.4398,395,38.72,23.3676
3,5,-0.0004,-0.0003,196.43019,190,-6.4301910400390625,Low,642.48,1583.09,1405.87,553.61,2388.16,9054.7,47.54,521.37,2388.09,8135.05,8.454,392,38.81,23.2853
3,6,0.0004,0.0001,187.42308,189,1.5769195556640625,Low,642.58,1589.1,1406.66,553.73,2388.1,9053.51,47.3,521.93,2388.1,8132.28,8.4054,394,38.88,23.3089
3,7,-0.0009,-0.0003,195.34782,188,-7.3478240966796875,Low,642.64,1592.23,1397.15,553.32,2388.06,9057.38,47.63,521.79,2388.09,8127.39,8.4439,392,38.95,23.316
3,8,0.0033,0.0,175.19325,187,11.806747436523438,Low,642.68,1588.26,1407.24,553.56,2388.09,9042.62,47.5,521.81,2388.08,8131.73,8.4626,393,38.83,23.3569
3,9,-0.0036,-0.0002,186.33348,186,-0.3334808349609375,Low,642.55,1591.62,1403.38,553.08,2388.15,9045.07,47.52,521.28,2388.08,8136.76,8.4392,394,38.91,23.2382
3,10,0.0017,0.0002,188.1233,185,-3.1233062744140625,Low,642.18,1596.44,1408.66,553.77,2388.09,9055.09,47.55,521.73,2388.11,8133.48,8.4405,392,38.88,23.3538
3,11,0.0013,0.0003,197.26474,184,-13.264739990234375,Low,642.36,1589.27,1404.58,553.44,2388.12,9054.78,47.53,521.47,2388.04,8137.15,8.463,394,39.07,23.3507
3,12,-0.0002,-0.0004,180.08064,183,2.9193572998046875,Low,642.94,1594.87,1406.67,553.55,2388.15,9057.97,47.31,521.78,2388.13,8131.48,8.4391,392,38.88,23.3538
3,13,0.0019,0.0002,185.65633,182,-3.6563262939453125,Low,642.48,1588.36,1410.26,553.42,2388.09,9049.54,47.55,521.43,2388.11,8130.1,8.4479,394,38.71,23.3281
3,14,-0.0003,-0.0004,182.23068,181,-1.230682373046875,Low,642.67,1593.0,1404.23,554.39,2388.12,9058.86,47.45,521.67,2388.11,8132.05,8.4252,393,38.77,23.2074
3,15,-0.0018,-0.0001,184.9429,180,-4.942901611328125,Low,642.44,1586.67,1407.25,553.18,2388.13,9051.94,47.53,521.36,2388.11,8131.3,8.45,396,38.86,23.276
3,16,0.0021,-0.0,181.06508,179,-2.0650787353515625,Low,642.38,1592.5,1400.05,553.44,2388.08,9050.6,47.53,520.93,2388.1,8127.71,8.4246,393,38.92,23.38
3,17,0.0003,0.0,178.597,178,-0.5970001220703125,Low,642.83,1588.45,1405.4,553.81,2388.07,9051.43,47.59,521.58,2388.15,8128.93,8.4287,392,38.81,23.3644
3,18,0.0015,-0.0,175.10226,177,1.897735595703125,Low,642.61,1581.11,1409.15,553.79,2388.1,9049.56,47.61,521.2,2388.08,8135.06,8.3918,393,38.87,23.1391
3,19,0.003,-0.0002,165.52852,176,10.471481323242188,Low,642.92,1587.4,1410.35,553.94,2388.13,9050.03,47.57,521.28,2388.09,8136.31,8.4564,393,39.0,23.2953
3,20,0.0004,-0.0002,171.30496,175,3.695037841796875,Low,642.28,1588.87,1410.34,553.36,2388.09,9053.85,47.59,521.58,2388.13,8133.81,8.4204,394,38.88,23.2801
3,21,0.0006,0.0,170.9746,174,3.0254058837890625,Low,642.38,1586.06,1406.87,552.7,2388.12,9055.01,47.53,521.67,2388.08,8131.69,8.4211,394,38.94,23.3336
3,22,0.0008,0.0002,173.42708,173,-0.4270782470703125,Low,642.68,1586.63,1402.35,553.01,2388.11,9051.59,47.57,521.59,2388.17,8131.85,8.4427,392,38.83,23.3078
3,23,0.0016,-0.0001,167.9915,172,4.0084991455078125,Low,642.68,1588.75,1406.58,553.08,2388.13,9061.14,47.44,521.35,2388.13,8126.12,8.4685,395,38.85,23.3001
3,24,0.0015,-0.0002,176.95811,171,-5.9581146240234375,Low,642.77,1591.61,1401.64,553.6,2388.1,9051.33,47.43,521.74,2388.12,8134.28,8.4284,392,38.78,23.3497
3,25,-0.0,0.0002,175.75984,170,-5.7598419189453125,Low,642.52,1594.78,1407.93,552.86,2388.1,9055.62,47.69,521.53,2388.14,8133.84,8.4647,394,38.87,23.2521
3,26,0.0039,0.0001,164.7815,169,4.218505859375,Low,642.61,1588.91,1401.57,553.76,2388.15,9050.23,47.46,521.21,2388.09,8129.94,8.4526,394,38.93,23.3734
3,27,0.0018,0.0001,158.2892,168,9.710800170898438,Low,642.91,1586.55,1406.9,553.06,2388.14,9046.59,47.58,521.62,2388.11,8135.43,8.4141,393,39.06,23.2117
3,28,-0.0019,0.0004,172.29239,167,-5.292388916015625,Low,642.68,1586.87,1404.55,553.3,2388.13,9054.83,47.6,522.16,2388.08,8130.71,8.4349,393,38.97,23.3014
3,29,0.0007,-0.0003,165.2768,166,0.72320556640625,Low,642.93,1586.1,1410.46,553.36,2388.1,9061.25,47.46,521.33,2388.08,8137.46,8.4154,394,38.79,23.4114
3,30,-0.001,0.0001,182.16843,165,-17.168426513671875,Low,643.44,1589.93,1409.81,553.94,2388.1,9058.13,47.57,520.83,2388.09,8134.51,8.438,395,38.67,23.3157
3,31,0.0003,-0.0002,162.9346,164,1.065399169921875,Low,643.28,1585.97,1410.98,553.21,2388.08,9050.18,47.59,521.27,2388.1,8134.51,8.4581,394,38.87,23.3326
3,32,0.0035,-0.0002,160.4145,163,2.5854949951171875,Low,642.66,1586.34,1405.97,553.3,2388.11,9054.94,47.58,521.75,2388.05,8130.2,8.427,392,38.85,23.3343
3,33,0.0076,0.0004,149.9079,162,12.09210205078125,Low,643.39,1596.15,1417.42,553.15,2388.11,9055.79,47.54,521.43,2388.15,8134.88,8.4398,393,38.84,23.2196
3,34,-0.0024,0.0001,158.35243,161,2.6475677490234375,Low,642.47,1584.06,1413.43,553.63,2388.13,9061.97,47.69,521.15,2388.14,8124.43,8.4408,394,38.66,23.2639
3,35,0.0018,0.0,167.25844,160,-7.2584381103515625,Low,642.56,1589.74,1407.48,553.68,2388.05,9046.35,47.41,521.38,2388.14,8132.54,8.4572,393,38.79,23.3207
3,36,-0.0035,-0.0003,161.52922,159,-2.5292205810546875,Low,642.43,1593.83,1403.73,553.17,2388.15,9054.11,47.55,521.24,2388.09,8132.01,8.4606,392,38.72,23.2926
3,37,0.0038,-0.0003,156.4893,158,1.5106964111328125,Low,642.14,1585.67,1407.71,553.26,2388.09,9046.7,47.53,521.38,2388.11,8131.82,8.4322,393,38.82,23.2423
3,38,0.0019,0.0002,166.39182,157,-9.391815185546875,Low,642.85,1596.84,1409.5,554.06,2388.09,9053.4,47.6,521.61,2388.13,8131.34,8.4477,392,38.74,23.4023
3,39,0.0005,-0.0005,156.32037,156,-0.32037353515625,Low,642.63,1593.97,1406.25,553.19,2388.11,9052.78,47.55,520.79,2388.09,8129.68,8.4034,393,38.75,23.3069
3,40,-0.0004,-0.0005,153.98195,155,1.0180511474609375,Low,642.52,1588.58,1407.3,553.38,2388.16,9053.33,47.57,521.66,2388.18,8132.02,8.4341,393,38.73,23.303
3,41,-0.0047,-0.0005,159.99571,154,-5.9957122802734375,Low,642.94,1596.7,1406.09,553.78,2388.15,9048.09,47.49,521.34,2388.12,8137.15,8.4601,393,38.85,23.4
3,42,-0.0011,-0.0004,150.88794,153,2.112060546875,Low,642.74,1590.47,1415.23,552.79,2388.13,9051.32,47.36,521.37,2388.1,8134.08,8.4292,393,38.75,23.312
3,43,0.0017,0.0001,154.47786,152,-2.4778594970703125,Low,643.02,1589.26,1413.2,553.34,2388.11,9052.23,47.5,521.59,2388.1,8134.12,8.4194,394,38.84,23.4232
3,44,-0.0019,0.0,150.0474,151,0.952606201171875,Low,642.16,1586.46,1410.72,552.95,2388.13,9055.43,47.59,521.77,2388.14,8133.77,8.4204,394,38.74,23.3035
3,45,0.0003,-0.0004,150.8951,150,-0.8950958251953125,Low,642.55,1588.36,1405.75,552.3,2388.13,9058.3,47.57,521.0,2388.14,8125.84,8.4227,394,38.86,23.3064
3,46,-0.0006,-0.0002,150.44563,149,-1.4456329345703125,Low,642.45,1587.99,1401.94,553.75,2388.09,9055.86,47.55,521.21,2388.09,8127.02,8.421,393,38.83,23.1494
3,47,0.0015,-0.0005,146.19113,148,1.808868408203125,Low,642.63,1587.05,1407.79,553.6,2388.14,9051.69,47.56,520.81,2388.11,8137.44,8.4516,394,38.88,23.3113
3,48,0.0008,-0.0,137.87126,147,9.128738403320312,Low,642.26,1586.63,1411.59,553.31,2388.08,9056.76,47.58,521.85,2388.09,8135.46,8.4567,393,38.9,23.2519
3,49,0.0016,-0.0003,140.57884,146,5.4211578369140625,Low,642.29,1592.85,1406.74,553.64,2388.12,9047.48,47.54,521.54,2388.08,8131.23,8.4352,394,38.85,23.1975
3,50,-0.0024,0.0001,141.87704,145,3.122955322265625,Low,642.62,1590.17,1412.49,552.57,2388.11,9054.14,47.68,521.54,2388.07,8133.81,8.4672,393,38.71,23.3445
3,51,0.0016,0.0003,142.6365,144,1.363494873046875,Low,642.61,1588.68,1406.19,552.7,2388.11,9045.08,47.4,521.36,2388.12,8132.27,8.4294,393,38.6,23.2918
3,52,0.0004,-0.0004,139.33386,143,3.6661376953125,Low,642.77,1588.89,1406.76,553.04,2388.11,9054.14,47.43,522.1,2388.11,8133.85,8.4344,392,38.91,23.3043
3,53,-0.0034,-0.0001,146.05702,142,-4.0570220947265625,Low,642.53,1588.86,1409.88,553.24,2388.13,9046.64,47.6,521.25,2388.13,8126.83,8.4125,393,38.72,23.3259
3,54,0.0006,0.0003,143.92702,141,-2.9270172119140625,Low,642.6,1596.47,1408.82,553.6,2388.12,9054.38,47.52,521.3,2388.12,8134.63,8.4334,393,38.92,23.2866
3,55,-0.007,-0.0,161.39561,140,-21.395614624023438,Low,642.77,1591.57,1409.51,554.42,2388.18,9051.92,47.63,521.23,2388.11,8132.55,8.4423,392,39.0,23.2989
3,56,-0.0018,-0.0005,140.41109,139,-1.4110870361328125,Low,642.48,1594.76,1407.64,552.96,2388.12,9051.64,47.45,521.72,2388.11,8128.25,8.4621,392,38.89,23.3532
3,57,-0.0031,-0.0,136.40309,138,1.5969085693359375,Low,642.3,1588.4,1409.37,553.88,2388.18,9058.79,47.69,521.32,2388.15,8127.92,8.4406,392,38.76,23.2571
3,58,0.0003,-0.0002,123.02509,137,13.974906921386719,Low,642.21,1596.72,1416.17,553.24,2388.15,9055.83,47.6,521.08,2388.14,8129.73,8.4903,393,38.86,23.3165
3,59,-0.0002,-0.0001,136.2101,136,-0.2100982666015625,Low,642.92,1589.09,1406.51,552.79,2388.1,9052.43,47.49,520.91,2388.12,8133.07,8.4042,394,38.89,23.2791
3,60,-0.001,0.0003,137.59064,135,-2.59063720703125,Low,642.7,1586.17,1411.97,553.14,2388.15,9052.17,47.45,521.4,2388.07,8129.02,8.4746,394,38.79,23.2657
3,61,0.0001,0.0002,133.22748,134,0.77252197265625,Low,642.26,1594.76,1408.88,553.74,2388.12,9049.64,47.59,521.19,2388.08,8135.7,8.4224,395,38.85,23.2423
3,62,0.0008,0.0003,137.846,133,-4.8459930419921875,Low,642.5,1594.72,1396.96,553.83,2388.15,9054.32,47.57,521.52,2388.11,8129.64,8.412,393,38.71,23.2947
3,63,-0.0004,0.0,128.40208,132,3.5979156494140625,Low,642.93,1588.79,1402.3,552.62,2388.18,9050.53,47.59,520.85,2388.13,8127.58,8.4595,393,38.9,23.2126
3,64,-0.0014,-0.0004,124.24991,131,6.750091552734375,Low,643.09,1584.76,1410.91,554.3,2388.06,9057.67,47.43,521.04,2388.13,8128.41,8.4524,392,38.99,23.1985
